"month","week","loc_type","region","weapon","n_killed_a","know_ini","ev_type","sc_animosity","anti_gov_sentmnts","duration"
"2","3","27",NA,"1",0,"1","4",TRUE,FALSE,"1"
"4","3","21",NA,"1",0,"1","4",FALSE,FALSE,"0"
"7","3","27",NA,"1",0,"0","4",FALSE,FALSE,"1"
"3","4","3",NA,"26",0,"1","2",TRUE,TRUE,"0"
"6","3","27",NA,"1",0,"1","1",FALSE,FALSE,"1"
"8","3","25",NA,"26",0,"1","4",FALSE,FALSE,"1"
"8","2","27",NA,"1",0,"1","1",TRUE,TRUE,"0"
"8","1","2",NA,"1",0,"0","2",FALSE,FALSE,"0"
"8","2","2",NA,"1",0,"1","2",TRUE,FALSE,"0"
"3","3","25",NA,"1",0,"1","2",FALSE,FALSE,"1"
"3","3","25",NA,"1",0,"1","1",FALSE,FALSE,"1"
"11","3","24",NA,"14",0,"1","2",TRUE,FALSE,"1"
"11","3","24",NA,"14",1,"1","2",TRUE,FALSE,"1"
"2","3","16",NA,"1",0,"1","4",TRUE,FALSE,"1"
"7","3","2",NA,"1",0,"1","4",TRUE,FALSE,"1"
"7","3","16",NA,"1",0,"1","4",TRUE,FALSE,"1"
"4","3","27",NA,"1",0,"1","4",FALSE,FALSE,"1"
"6","3","2",NA,"1",0,"1","4",FALSE,FALSE,"1"
"8","2","2",NA,"18",0,"0","2",FALSE,FALSE,"0"
"7","3","16",NA,"1",0,"1","1",FALSE,FALSE,"1"
"7","3","16",NA,"7",0,"1","2",FALSE,FALSE,"1"
"7","3","16",NA,"1",0,"1","1",FALSE,FALSE,"1"
"8","2","27",NA,"1",0,"1","2",TRUE,FALSE,"0"
"8","2","27",NA,"1",0,"1","1",TRUE,FALSE,"0"
"12","3","18",NA,"3",0,"1","2",TRUE,FALSE,"0"
"12","3","18",NA,"3",0,"1","2",TRUE,FALSE,"0"
"7","3","2",NA,"18",3,"0","2",FALSE,FALSE,"1"
"1","3","16",NA,"18",0,"5","2",TRUE,FALSE,"1"
"3","3","4",NA,"18",0,"1","2",TRUE,FALSE,"1"
"6","3","25",NA,"22",0,"1","4",FALSE,TRUE,"0"
"6","2","25",NA,"23",0,"5","4",FALSE,FALSE,"1"
"7","3","24",NA,"10",0,"1","2",FALSE,FALSE,"1"
"4","3","2",NA,"14",1,"1","2",TRUE,FALSE,"1"
"12","2","2",NA,"1",0,"1","1",FALSE,TRUE,"0"
"12","2","18",NA,"1",0,"1","1",FALSE,TRUE,"0"
"12","2","25",NA,"23",12,"1","4",TRUE,FALSE,"0"
"4","3","27",NA,"1",0,"0","2",FALSE,FALSE,"0"
"7","3","24",NA,"24",290,"1","4",FALSE,FALSE,"1"
"9","2","27",NA,"1",0,"1",NA,FALSE,FALSE,"0"
"10","2","2",NA,"1",0,"1","2",TRUE,FALSE,"0"
"10","2","2",NA,"1",0,"1","1",TRUE,TRUE,"0"
"10","2","2",NA,"1",0,"1","1",TRUE,TRUE,"0"
"10","2","16",NA,"1",0,"1","2",TRUE,FALSE,"0"
"10","2","2",NA,"1",0,"1","4",FALSE,FALSE,"0"
"10","2","2",NA,"1",0,"1","4",TRUE,FALSE,"0"
"7","4","10",NA,"18",15,"1","2",FALSE,FALSE,"0"
"7","3","25",NA,"1",0,"2","2",FALSE,FALSE,"1"
"10","3","2",NA,"14",1,"1","2",TRUE,TRUE,"1"
"10","3","2",NA,"14",0,"0","2",FALSE,FALSE,"1"
"10","5","27",NA,"1",1,"0","2",TRUE,FALSE,"0"
"8","3","2",NA,"1",0,"1","4",TRUE,FALSE,"1"
"8","3","2",NA,"10",0,"0","2",FALSE,FALSE,"1"
"2","2","2",NA,"1",0,"1","2",TRUE,FALSE,"1"
"2","1","2",NA,"1",0,"1","4",TRUE,FALSE,"0"
"6","3","12",NA,"16",4,"1","2",FALSE,FALSE,"0"
"7","3","2",NA,"10",0,"1","2",TRUE,TRUE,"1"
"1","3","27",NA,"1",200000,"1",NA,FALSE,FALSE,"1"
"7","3","27",NA,"26",0,"1","2",FALSE,TRUE,"1"
"10","3","2",NA,"14",0,"5","2",TRUE,TRUE,"1"
