month,country,know_ini,ambig_ini,day,date,jul_start_date,jul_end_date,day_span,n_injurd,tar_gpol,event,posthoc,ev_type,linked,loc_type,ad_viol,weap_grd,n_killed_a,e_length,n_injurd_d,dam_prop,arrests,per_atk_i,per_atk_e,pub_order,retribution,sc_animosity,anti_gov_sentmnts,class_conflict,pol_desires,retain_power,eco_scarcity,pers_security,coup,coup_failed,region,weapon,duration,s_month,s_day,weekday
2,NA,1,FALSE,15,2/15/1946,397,424,28,0,FALSE,TRUE,FALSE,4,FALSE,27,FALSE,1,0,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,2,2,1,6
4,NA,1,FALSE,17,4/17/1946,465,478,14,0,TRUE,TRUE,FALSE,4,FALSE,21,FALSE,1,0,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,2,4,10,4
7,NA,0,FALSE,16,7/16/1948,1096,1461,366,0,FALSE,TRUE,FALSE,4,FALSE,27,FALSE,1,0,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,3,1,1,5
3,NA,1,FALSE,26,3/26/1950,1910,1911,2,0,FALSE,TRUE,FALSE,2,FALSE,3,FALSE,4,0,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,26,1,3,25,7
6,NA,1,FALSE,16,6/16/1958,4900,4929,30,0,FALSE,TRUE,FALSE,1,FALSE,27,FALSE,1,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,2,6,1,1
8,NA,1,FALSE,16,8/16/1964,7152,7182,31,0,FALSE,TRUE,FALSE,4,FALSE,25,FALSE,5,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,26,3,7,31,6
8,NA,1,FALSE,12,8/12/1967,8239,8248,10,0,FALSE,TRUE,FALSE,1,TRUE,27,FALSE,1,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,2,7,23,1
8,NA,0,FALSE,7,8/7/1968,8613,8624,12,0,FALSE,TRUE,FALSE,2,TRUE,2,FALSE,1,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,2,7,31,4
8,NA,1,FALSE,8,8/8/1968,8613,8626,14,0,FALSE,TRUE,FALSE,2,FALSE,2,FALSE,1,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,2,7,31,4
3,NA,1,FALSE,16,3/16/1970,9191,9221,31,0,FALSE,TRUE,FALSE,2,TRUE,25,FALSE,1,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,3,3,1,1
